1,2,3,4,5,6,7,8,9,x
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,0
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,0
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,0
1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,1
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,1
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,0
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,0
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,0
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,1
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,0
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,0
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,1
1.5174299999999998,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,1
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,0
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,0
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,0
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,0
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,1
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,1
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,0
1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,1
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,1
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,0
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,1
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,0
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,1
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,0
1.5184799999999998,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,0
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,0
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,0
1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0,1
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,0
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,1
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,1
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,0
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,1
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,1
1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,1
1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,1
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,0
1.5168700000000002,13.23,3.54,1.48,72.84,0.56,8.1,0,0,1
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,1
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,1
1.5217200000000002,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,0
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,0
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,1
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,0
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,1
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,0
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,1
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,1
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,1
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,0
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,1
1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,1
1.5175299999999998,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,0
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,0
1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,0
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21,1
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,0
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,0
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,0
