1,2,3,4,5,6,7,8,9,10,11,12,x
30.5,0,1,0,0,0,98,63,2051,17,1978,6,1
13,0,0,0,0,1,351,158,4363,13,1974,11,1
24,0,1,0,0,0,107,90,2430,15,1971,1,0
18,0,0,0,1,0,250,78,3574,21,1977,11,1
16,0,0,0,1,0,250,100,3278,18,1974,6,1
23,0,1,0,0,0,120,97,2506,15,1973,26,0
16.5,0,0,0,0,1,351,138,3955,13,1980,16,1
31.6,0,1,0,0,0,120,74,2635,18,1982,14,0
13,0,0,0,0,1,318,150,3755,14,1977,9,1
22,0,1,0,0,0,108,94,2379,17,1974,8,0
26,0,1,0,0,0,97,46,1950,21,1974,29,0
17.5,0,0,0,0,1,305,145,3880,13,1978,6,1
27,0,1,0,0,0,112,88,2640,19,1983,6,1
29,0,1,0,0,0,98,83,2219,17,1975,1,0
26,0,1,0,0,0,98,90,2265,16,1974,10,0
32.4,0,1,0,0,0,108,75,2350,17,1982,26,0
12,0,0,0,0,1,429,198,4952,12,1974,16,1
25,0,1,0,0,0,116,81,2220,17,1977,19,0
18,0,0,0,1,0,199,97,2774,16,1971,0,1
25,0,1,0,0,0,98,80,2126,17,1973,9,1
26.6,0,1,0,0,0,151,84,2635,16,1982,3,1
37.3,0,1,0,0,0,91,69,2130,15,1980,10,0
21,0,0,0,1,0,231,110,3039,15,1976,3,1
23.2,0,1,0,0,0,156,105,2745,17,1979,21,1
28,0,1,0,0,0,151,90,2678,17,1981,6,1
13,0,0,0,0,1,302,129,3169,12,1976,11,1
22,0,1,0,0,0,121,98,2945,15,1976,28,0
27,0,1,0,0,0,151,90,2735,18,1983,22,1
15,0,0,0,0,1,350,165,3693,12,1971,3,1
19,0,0,0,1,0,250,88,3302,16,1972,11,1
24.3,0,1,0,0,0,151,90,3003,20,1981,0,1
17.5,0,0,0,0,1,318,140,4080,14,1979,9,1
20.3,0,0,1,0,0,131,103,2830,16,1979,1,0
31,0,1,0,0,0,112,85,2575,16,1983,22,1
21,0,1,0,0,0,122,86,2226,17,1973,11,1
14,0,0,0,0,1,304,150,3672,12,1974,0,1
18,0,0,0,1,0,250,105,3459,16,1976,6,1
13,0,0,0,0,1,400,190,4422,13,1973,7,1
19,0,0,0,1,0,225,100,3630,18,1978,21,1
15,0,0,0,0,1,390,190,3850,9,1971,0,1
32,0,1,0,0,0,83,61,2003,19,1975,8,0
16,0,0,0,0,1,400,180,4220,11,1978,22,1
32.1,0,1,0,0,0,98,70,2120,16,1981,6,1
17,0,0,0,0,1,305,130,3840,15,1980,6,1
36.1,0,1,0,0,0,91,60,1800,16,1979,13,0
25.1,0,1,0,0,0,140,88,2720,15,1979,11,1
29,0,1,0,0,0,85,52,2035,22,1977,6,1
13,0,0,0,0,1,400,175,5140,12,1972,22,1
35.7,0,1,0,0,0,98,80,1915,14,1980,9,1
24,0,1,0,0,0,90,75,2108,16,1975,10,0
25,0,1,0,0,0,140,92,2572,15,1977,5,1
15,0,0,0,0,1,318,150,4135,14,1973,21,1
22,0,1,0,0,0,121,76,2511,18,1973,29,0
27.9,0,1,0,0,0,156,105,2800,14,1981,9,1
28,0,1,0,0,0,116,90,2123,14,1972,19,0
30,0,1,0,0,0,111,80,2155,15,1978,3,1
20,0,1,0,0,0,140,90,2408,20,1973,6,1
13,0,0,0,0,1,350,150,4699,15,1975,3,1
36,0,1,0,0,0,98,70,2125,17,1983,16,1
28,0,1,0,0,0,140,90,2264,16,1972,6,1
15,0,0,0,1,0,258,110,3730,19,1976,0,1
31,0,1,0,0,0,91,68,1970,18,1983,14,0
15,0,0,0,1,0,250,100,3336,17,1975,6,1
19.2,0,0,0,1,0,231,105,3535,19,1979,22,1
24,0,1,0,0,0,140,92,2865,16,1983,11,1
27,0,1,0,0,0,151,90,2950,17,1983,6,1
26.4,0,1,0,0,0,140,88,2870,18,1981,11,1
26,0,1,0,0,0,97,75,2265,18,1978,26,0
20.6,0,0,0,1,0,231,105,3380,16,1979,3,1
26,0,1,0,0,0,108,93,2391,16,1975,25,0
39.4,0,1,0,0,0,85,70,2070,19,1979,8,0
13,0,0,0,0,1,350,165,4274,12,1973,6,1
37,0,1,0,0,0,119,92,2434,15,1981,8,0
30.5,0,1,0,0,0,97,78,2190,14,1978,29,0
19,1,0,0,0,0,70,97,2330,14,1973,14,0
33,0,1,0,0,0,105,74,2190,14,1982,29,0
25,0,1,0,0,0,113,95,2228,14,1972,26,0
25.5,0,1,0,0,0,122,96,2300,16,1978,21,1
