1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,x
26,11,1,1,0,0,1,0,0,1,0,0,0,1,0,0,93,157.3,63.8,50.8,2145,0,0,0,1,0,0,0,0,0,1,0,0,0,0,98,0,0,0,0,0,0,1,0,7,23,7.6,2,16,24,30,142,0
3,8,1,0,0,0,1,0,0,1,0,0,0,1,0,0,93.1,159.1,64.2,54.1,1905,0,0,0,1,0,0,0,0,0,1,0,0,0,0,91,0,1,0,0,0,0,0,0,7,15,9,42,10,31,38,123,0
42,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,96.5,175.4,62.5,54.1,2372,0,0,0,1,0,0,0,0,0,1,0,0,0,0,110,1,0,0,0,0,0,0,0,11,31,9,52,19,27,33,2,1
46,19,1,0,0,1,0,0,0,0,1,0,0,1,0,0,95.7,166.3,64.4,52.8,2140,0,0,0,1,0,0,0,0,0,1,0,0,0,0,98,0,1,0,0,0,0,0,0,13,9,9,44,8,28,34,171,1
48,20,1,0,0,1,0,0,0,0,1,0,0,1,0,0,97.3,171.7,65.5,55.7,2212,0,0,0,1,0,0,0,0,0,1,0,0,0,0,109,0,0,0,0,0,1,0,0,13,24,9,51,13,27,34,156,0
51,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,94.5,155.9,63.6,52,1874,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,7,13,9.6,44,15,38,43,186,0
26,13,1,0,0,1,0,0,0,0,1,0,0,0,1,0,107.9,186.7,68.4,56.7,3075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,120,0,0,0,0,0,1,0,0,22,17,8.4,58,10,19,24,54,1
51,13,0,1,0,1,0,0,0,0,0,1,0,0,1,0,114.2,198.9,68.4,58.7,3485,0,0,1,0,0,0,0,0,0,1,0,0,0,0,152,0,0,0,1,0,0,0,0,32,29,21,57,0,25,25,59,1
13,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,97.3,171.7,65.5,55.7,2261,0,0,0,1,0,0,0,0,0,1,0,0,0,0,97,0,0,0,1,0,0,0,0,6,24,23,35,8,37,46,144,0
22,8,1,0,0,0,1,0,0,1,0,0,0,0,1,0,95.3,169,65.7,49.6,2380,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70,0,0,1,0,0,0,0,0,38,36,9.4,1,21,17,23,17,0
