1,2,3,4,5,6,7,8,9,x
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,0
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,1
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,1
1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,1
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,0
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,0
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,0
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,0
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,0
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,1
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,0
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,0
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,0
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,1
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,1
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,0
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,0
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,1
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,1
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,1
1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18,1
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,1
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,0
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,1
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,0
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,0
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,1
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,1
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,0
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,1
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,1
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0,1
