1,2,3,4,5,6,7,8,9,10,11,12,x
17,0,0,0,0,1,302,140,3449,11,1971,11,1
30.5,0,1,0,0,0,98,63,2051,17,1978,6,1
23,0,0,0,0,1,350,125,3900,17,1980,4,1
14,0,0,0,0,1,440,215,4312,9,1971,21,1
37.7,0,1,0,0,0,89,62,2050,17,1982,26,0
16,0,0,0,0,1,302,140,4141,14,1975,11,1
11,0,0,0,0,1,350,180,3664,11,1974,18,1
19.1,0,0,0,1,0,225,90,3381,19,1981,9,1
16.9,0,0,0,0,1,350,155,4360,15,1980,3,1
31.8,0,1,0,0,0,85,65,2020,19,1980,8,0
16,0,0,0,0,1,304,150,3433,12,1971,0,1
37.2,0,1,0,0,0,86,65,2019,16,1981,8,0
15.5,0,0,0,0,1,351,142,4054,14,1980,11,1
14,0,0,0,0,1,351,148,4657,14,1976,11,1
18,0,0,0,1,0,250,78,3574,21,1977,11,1
26,0,1,0,0,0,97,46,1835,21,1971,29,0
16.5,0,0,0,0,1,351,138,3955,13,1980,16,1
20.2,0,0,0,1,0,232,90,3265,18,1980,0,1
16,0,0,0,1,0,250,105,3897,19,1976,6,1
14,0,0,0,0,1,302,140,4638,16,1975,11,1
17.5,0,0,0,1,0,250,110,3520,16,1978,6,1
14,0,0,0,0,1,455,225,3086,10,1971,3,1
31.6,0,1,0,0,0,120,74,2635,18,1982,14,0
22,0,1,0,0,0,122,86,2395,16,1973,11,1
29,0,1,0,0,0,97,78,1940,15,1978,29,0
20.2,0,0,0,1,0,200,88,3060,17,1982,11,1
27.2,0,1,0,0,0,141,71,3190,25,1980,20,0
24,0,1,0,0,0,116,75,2158,16,1974,19,0
16.5,0,0,0,0,1,350,180,4380,12,1977,4,1
19,0,0,0,1,0,156,108,2930,16,1977,26,0
29,0,1,0,0,0,90,70,1937,14,1977,29,0
13,0,0,0,0,1,360,175,3821,11,1974,0,1
22,0,1,0,0,0,108,94,2379,17,1974,8,0
32,0,1,0,0,0,91,67,1965,16,1983,13,0
17.5,0,0,0,0,1,305,145,3880,13,1978,6,1
29,0,1,0,0,0,98,83,2219,17,1975,1,0
38,0,0,0,1,0,262,85,3015,17,1983,18,1
21.1,0,1,0,0,0,134,95,2515,15,1979,26,0
12,0,0,0,0,1,429,198,4952,12,1974,16,1
23,0,1,0,0,0,115,95,2694,15,1976,1,0
25,0,1,0,0,0,116,81,2220,17,1977,19,0
35,0,1,0,0,0,72,69,1613,18,1972,8,0
18,0,0,0,1,0,199,97,2774,16,1971,0,1
34.1,0,1,0,0,0,86,65,1975,15,1980,14,0
27.2,0,1,0,0,0,119,97,2300,15,1979,8,0
26,0,1,0,0,0,98,79,2255,18,1977,9,1
18,0,0,0,1,0,250,88,3139,15,1972,11,1
16,0,0,0,1,0,250,100,3781,17,1975,6,1
34.2,0,1,0,0,0,105,70,2200,13,1980,21,1
32.2,0,1,0,0,0,108,75,2265,15,1981,26,0
30,0,1,0,0,0,88,76,2065,15,1972,10,0
25,0,1,0,0,0,121,115,2671,14,1976,24,0
18,0,0,0,0,1,307,130,3504,12,1971,6,1
20,0,1,0,0,0,97,88,2279,19,1974,26,0
18,0,0,0,1,0,225,95,3785,19,1976,21,1
24.5,0,1,0,0,0,151,88,2740,16,1978,22,1
21,0,0,0,1,0,231,110,3039,15,1976,3,1
26,0,1,0,0,0,79,67,1963,16,1975,29,0
16,0,0,0,0,1,400,170,4668,12,1976,22,1
13,0,0,0,0,1,360,170,4654,13,1974,21,1
20,0,1,0,0,0,114,91,2582,14,1974,1,0
26,0,1,0,0,0,97,78,2300,15,1975,19,0
16,0,0,0,0,1,318,150,4190,13,1977,9,1
13,0,0,0,0,1,302,129,3169,12,1976,11,1
22,0,1,0,0,0,121,98,2945,15,1976,28,0
35.1,0,1,0,0,0,81,60,1760,16,1982,13,0
23,0,1,0,0,0,120,88,2957,17,1976,20,0
20.6,0,0,0,1,0,225,110,3360,17,1980,9,1
15,0,0,0,0,1,350,165,3693,12,1971,3,1
18.1,0,0,0,0,1,302,139,3205,11,1979,11,1
14,0,0,0,0,1,455,225,4425,10,1971,22,1
28,0,1,0,0,0,107,86,2464,16,1977,10,0
18,1,0,0,0,0,70,90,2124,14,1974,14,0
19,0,0,0,1,0,232,100,2634,13,1972,0,1
16.2,0,0,0,1,0,163,133,3410,16,1979,20,0
17.5,0,0,0,0,1,318,140,4080,14,1979,9,1
18,0,0,0,1,0,171,97,2984,15,1976,11,1
19.9,0,0,0,0,1,260,110,3365,16,1979,18,1
16,0,0,0,1,0,225,105,3439,16,1972,21,1
26,0,1,0,0,0,156,92,2585,15,1983,7,1
38,0,1,0,0,0,105,63,2125,15,1983,21,1
20.3,0,0,1,0,0,131,103,2830,16,1979,1,0
29,0,1,0,0,0,68,49,1867,20,1974,10,0
31,0,1,0,0,0,112,85,2575,16,1983,22,1
21,0,1,0,0,0,122,86,2226,17,1973,11,1
26,0,1,0,0,0,96,69,2189,18,1973,23,0
14,0,0,0,0,1,304,150,3672,12,1974,0,1
17.5,0,0,0,0,1,305,140,4215,13,1977,6,1
18,0,0,0,0,1,318,150,3436,11,1971,21,1
34,0,1,0,0,0,112,88,2395,18,1983,6,1
18,0,0,0,1,0,250,105,3459,16,1976,6,1
25.8,0,1,0,0,0,156,92,2620,14,1982,9,1
28.4,0,1,0,0,0,151,90,2670,16,1980,3,1
15,0,0,0,0,1,350,145,4082,13,1974,6,1
14,0,0,0,0,1,318,150,4077,14,1973,21,1
27.2,0,1,0,0,0,135,84,2490,16,1982,21,1
43.1,0,1,0,0,0,90,48,1985,22,1979,29,0
29,0,1,0,0,0,90,70,1937,14,1976,29,0
33.5,0,1,0,0,0,85,70,1945,17,1978,8,0
23,0,1,0,0,0,140,83,2639,17,1976,11,1
21,0,1,0,0,0,140,72,2401,20,1974,6,1
18,0,0,0,1,0,250,88,3021,17,1974,11,1
13,0,0,0,0,1,307,130,4098,14,1973,6,1
22,0,0,0,1,0,146,97,2815,15,1978,8,0
17.7,0,0,0,1,0,231,165,3445,13,1979,3,1
30,0,1,0,0,0,79,70,2074,20,1972,20,0
32.9,0,1,0,0,0,119,100,2615,15,1982,8,0
37,0,1,0,0,0,85,65,1975,19,1982,8,0
28.8,0,0,0,1,0,173,115,2595,11,1980,6,1
17.5,0,0,0,1,0,258,95,3193,18,1977,0,1
14,0,0,0,0,1,302,137,4042,15,1974,11,1
21,0,0,0,1,0,200,85,2587,16,1971,11,1
16,0,0,0,0,1,318,150,4498,15,1976,21,1
20,0,1,0,0,0,130,102,3150,16,1977,28,0
44,0,1,0,0,0,97,52,2130,25,1983,29,0
39,0,1,0,0,0,86,64,1875,16,1982,21,1
23,0,1,0,0,0,122,86,2220,14,1972,16,1
13,0,0,0,0,1,350,145,4055,12,1977,6,1
18,0,0,0,1,0,225,105,3121,17,1974,21,1
25,0,1,0,0,0,110,87,2672,18,1971,20,0
14,0,0,0,0,1,454,220,4354,9,1971,6,1
15,0,0,0,0,1,318,150,3399,11,1974,9,1
24,0,1,0,0,0,121,110,2660,14,1974,24,0
36.4,0,0,1,0,0,121,67,2950,20,1981,1,0
25.1,0,1,0,0,0,140,88,2720,15,1979,11,1
29,0,1,0,0,0,85,52,2035,22,1977,6,1
13,0,0,0,0,1,400,175,5140,12,1972,22,1
35.7,0,1,0,0,0,98,80,1915,14,1980,9,1
30.7,0,0,0,1,0,145,76,3160,20,1982,28,0
29.8,0,1,0,0,0,134,90,2711,16,1981,26,0
22,0,1,0,0,0,121,76,2511,18,1973,29,0
25,0,1,0,0,0,104,95,2375,18,1971,24,0
27,0,1,0,0,0,97,88,2130,15,1972,8,0
37,0,1,0,0,0,91,68,2025,18,1983,14,0
18,0,0,0,1,0,258,110,2962,14,1972,0,1
32,0,1,0,0,0,71,65,1836,21,1975,26,0
