1,2,3,4,5,6,7,8,9,10,11,12,x
17,0,0,0,0,1,302,140,3449,11,1971,11,1
15,0,0,0,0,1,400,150,3761,10,1971,6,1
30.5,0,1,0,0,0,98,63,2051,17,1978,6,1
23,0,0,0,0,1,350,125,3900,17,1980,4,1
34,0,1,0,0,0,108,70,2245,17,1983,26,0
16,0,0,0,0,1,302,140,4141,14,1975,11,1
11,0,0,0,0,1,350,180,3664,11,1974,18,1
16.9,0,0,0,0,1,350,155,4360,15,1980,3,1
31.8,0,1,0,0,0,85,65,2020,19,1980,8,0
37.2,0,1,0,0,0,86,65,2019,16,1981,8,0
21.5,0,1,0,0,0,121,110,2600,13,1978,2,0
24,0,0,0,1,0,200,81,3012,18,1977,11,1
18,0,0,0,1,0,250,78,3574,21,1977,11,1
29.9,0,1,0,0,0,98,65,2380,21,1982,11,1
27,0,1,0,0,0,97,88,2130,15,1971,8,0
22.4,0,0,0,1,0,231,110,3415,16,1982,3,1
26,0,1,0,0,0,97,46,1835,21,1971,29,0
21.5,1,0,0,0,0,80,110,2720,14,1978,14,0
20.2,0,0,0,1,0,232,90,3265,18,1980,0,1
16,0,0,0,1,0,250,105,3897,19,1976,6,1
13,0,0,0,0,1,318,150,3755,14,1977,9,1
22,0,1,0,0,0,122,86,2395,16,1973,11,1
29,0,1,0,0,0,97,78,1940,15,1978,29,0
20.2,0,0,0,1,0,200,88,3060,17,1982,11,1
24,0,1,0,0,0,116,75,2158,16,1974,19,0
16.5,0,0,0,0,1,350,180,4380,12,1977,4,1
19,0,0,0,1,0,156,108,2930,16,1977,26,0
33.5,0,1,0,0,0,98,83,2075,16,1978,9,1
29,0,1,0,0,0,90,70,1937,14,1977,29,0
46.6,0,1,0,0,0,86,65,2110,18,1981,14,0
26,0,1,0,0,0,97,46,1950,21,1974,29,0
32,0,1,0,0,0,91,67,1965,16,1983,13,0
20,0,0,0,1,0,198,95,3102,17,1975,21,1
27,0,1,0,0,0,112,88,2640,19,1983,6,1
28,0,1,0,0,0,97,92,2288,17,1973,8,0
24,0,1,0,0,0,119,97,2545,17,1976,8,0
21.1,0,1,0,0,0,134,95,2515,15,1979,26,0
15.5,0,0,0,0,1,400,190,4325,12,1978,7,1
19.2,0,0,0,0,1,305,145,3425,13,1979,6,1
25,0,1,0,0,0,116,81,2220,17,1977,19,0
18,0,0,0,1,0,199,97,2774,16,1971,0,1
17.6,0,0,0,1,0,225,85,3465,17,1982,7,1
28,0,1,0,0,0,90,75,2125,15,1975,9,1
34.1,0,1,0,0,0,86,65,1975,15,1980,14,0
27.2,0,1,0,0,0,119,97,2300,15,1979,8,0
17,0,0,0,1,0,250,100,3329,16,1972,6,1
12,0,0,0,0,1,350,180,4499,13,1974,18,1
18,0,0,0,1,0,250,88,3139,15,1972,11,1
16,0,0,0,1,0,250,100,3781,17,1975,6,1
12,0,0,0,0,1,400,167,4906,13,1974,11,1
34.2,0,1,0,0,0,105,70,2200,13,1980,21,1
26.6,0,1,0,0,0,151,84,2635,16,1982,3,1
43.4,0,1,0,0,0,90,48,2335,24,1981,29,0
25,0,1,0,0,0,121,115,2671,14,1976,24,0
18,0,0,0,0,1,307,130,3504,12,1971,6,1
20,0,1,0,0,0,97,88,2279,19,1974,26,0
16,0,0,0,0,1,351,149,4335,15,1978,11,1
24.5,0,1,0,0,0,151,88,2740,16,1978,22,1
34.4,0,1,0,0,0,98,65,2045,16,1982,11,1
15,0,0,0,0,1,429,198,4341,10,1971,11,1
27,0,1,0,0,0,101,83,2202,15,1977,23,0
26,0,1,0,0,0,79,67,1963,16,1975,29,0
26.5,0,1,0,0,0,140,72,2565,14,1977,11,1
13,0,0,0,0,1,360,170,4654,13,1974,21,1
26,0,1,0,0,0,97,78,2300,15,1975,19,0
28,0,1,0,0,0,151,90,2678,17,1981,6,1
12,0,0,0,0,1,455,225,4951,11,1974,3,1
22,0,1,0,0,0,121,98,2945,15,1976,28,0
21,0,1,0,0,0,120,87,2979,20,1973,20,0
35.1,0,1,0,0,0,81,60,1760,16,1982,13,0
23,0,1,0,0,0,120,88,2957,17,1976,20,0
