1,2,3,4,5,6,7,8,9,10,11,12,x
15,0,0,0,0,1,400,150,3761,10,1971,6,1
30.5,0,1,0,0,0,98,63,2051,17,1978,6,1
11,0,0,0,0,1,350,180,3664,11,1974,18,1
19.1,0,0,0,1,0,225,90,3381,19,1981,9,1
24,0,0,0,1,0,200,81,3012,18,1977,11,1
14,0,0,0,0,1,455,225,3086,10,1971,3,1
29,0,1,0,0,0,97,78,1940,15,1978,29,0
27.2,0,1,0,0,0,141,71,3190,25,1980,20,0
14,0,0,0,0,1,340,160,3609,8,1971,21,1
19,0,0,0,1,0,156,108,2930,16,1977,26,0
18,0,0,0,1,0,232,100,2945,16,1974,0,1
26,0,1,0,0,0,97,46,1950,21,1974,29,0
17.5,0,0,0,0,1,305,145,3880,13,1978,6,1
15.5,0,0,0,0,1,400,190,4325,12,1978,7,1
19.2,0,0,0,0,1,305,145,3425,13,1979,6,1
25,0,1,0,0,0,116,81,2220,17,1977,19,0
30,0,1,0,0,0,88,76,2065,15,1972,10,0
34.4,0,1,0,0,0,98,65,2045,16,1982,11,1
35.1,0,1,0,0,0,81,60,1760,16,1982,13,0
23,0,1,0,0,0,120,88,2957,17,1976,20,0
27,0,1,0,0,0,151,90,2735,18,1983,22,1
15,0,0,0,0,1,350,165,3693,12,1971,3,1
28,0,1,0,0,0,107,86,2464,16,1977,10,0
19,0,0,0,1,0,250,88,3302,16,1972,11,1
16.2,0,0,0,1,0,163,133,3410,16,1979,20,0
29,0,1,0,0,0,68,49,1867,20,1974,10,0
14,0,0,0,0,1,304,150,3672,12,1974,0,1
13,0,0,0,0,1,318,150,3940,13,1977,21,1
14,0,0,0,0,1,351,153,4129,13,1973,11,1
13,0,0,0,0,1,440,215,4735,11,1974,7,1
28.4,0,1,0,0,0,151,90,2670,16,1980,3,1
15,0,0,0,0,1,350,145,4082,13,1974,6,1
27.2,0,1,0,0,0,135,84,2490,16,1982,21,1
33.5,0,1,0,0,0,85,70,1945,17,1978,8,0
40.8,0,1,0,0,0,85,65,2110,19,1981,8,0
13,0,0,0,0,1,307,130,4098,14,1973,6,1
15,0,0,0,0,1,302,130,4295,15,1978,16,1
31,0,1,0,0,0,76,52,1649,17,1975,26,0
21,0,0,0,1,0,200,85,2587,16,1971,11,1
27,0,1,0,0,0,140,86,2790,16,1983,11,1
14,0,0,0,0,1,454,220,4354,9,1971,6,1
15,0,0,0,0,1,318,150,3399,11,1974,9,1
29,0,1,0,0,0,135,84,2525,16,1983,9,1
13,0,0,0,0,1,350,145,3988,13,1974,6,1
24,0,1,0,0,0,113,95,2372,15,1971,26,0
25.1,0,1,0,0,0,140,88,2720,15,1979,11,1
20.5,0,0,0,1,0,231,105,3425,17,1978,3,1
9,0,0,0,0,1,304,193,4732,19,1971,12,1
24,0,1,0,0,0,90,75,2108,16,1975,10,0
30.7,0,0,0,1,0,145,76,3160,20,1982,28,0
32.8,0,1,0,0,0,78,52,1985,19,1979,14,0
22,0,1,0,0,0,121,76,2511,18,1973,29,0
18,0,0,0,1,0,258,110,2962,14,1972,0,1
21.5,0,0,0,1,0,231,115,3245,15,1980,22,1
25,0,1,0,0,0,90,71,2223,17,1976,29,0
26.6,0,0,0,0,1,350,105,3725,19,1982,18,1
20,0,1,0,0,0,140,90,2408,20,1973,6,1
15.5,0,0,0,0,1,350,170,4165,11,1978,6,1
20.5,0,0,0,1,0,200,95,3155,18,1979,6,1
36,0,1,0,0,0,98,70,2125,17,1983,16,1
13,0,0,0,0,1,302,130,3870,15,1977,11,1
15,0,0,0,1,0,250,100,3336,17,1975,6,1
32.3,0,1,0,0,0,97,67,2065,18,1982,25,0
18.6,0,0,0,1,0,225,110,3620,19,1979,9,1
26.4,0,1,0,0,0,140,88,2870,18,1981,11,1
14,0,0,0,0,1,304,150,4257,16,1975,0,1
18.5,0,0,0,0,1,360,150,3940,13,1980,7,1
33.5,0,1,0,0,0,151,90,2556,13,1980,22,1
24,0,1,0,0,0,120,97,2489,15,1975,13,0
22,0,0,0,1,0,198,95,2833,16,1971,21,1
11,0,0,0,0,1,429,208,4633,11,1973,16,1
26,0,1,0,0,0,108,93,2391,16,1975,25,0
28,0,1,0,0,0,98,80,2164,15,1973,9,1
19,0,0,0,1,0,250,100,3282,15,1972,22,1
19,1,0,0,0,0,70,97,2330,14,1973,14,0
36,0,1,0,0,0,79,58,1825,19,1978,23,0
25,0,1,0,0,0,113,95,2228,14,1972,26,0
36,0,1,0,0,0,105,74,1980,15,1983,29,0
