1,2,3,4,5,6,7,x
0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.44,0.52,0.48,0.5,0.43,0.47,0.54,0
0.4,0.5,0.48,0.5,0.65,0.82,0.84,0
0.5,0.66,0.48,0.5,0.31,0.92,0.92,0
0.58,0.55,0.48,0.5,0.57,0.7,0.74,0
0.3,0.51,0.48,0.5,0.42,0.61,0.34,0
0.71,0.52,0.48,0.5,0.64,1,0.99,0
0.72,0.42,0.48,0.5,0.65,0.77,0.79,0
0.79,0.36,0.48,0.5,0.46,0.82,0.7,0
0.75,0.37,0.48,0.5,0.64,0.7,0.74,0
0.64,0.46,0.48,0.5,0.48,0.73,0.76,0
0.81,0.44,0.48,0.5,0.42,0.67,0.68,0
0.63,0.42,0.48,0.5,0.48,0.77,0.8,0
0.62,0.42,0.48,0.5,0.58,0.79,0.81,0
0.7,0.53,0.48,0.5,0.7,0.86,0.87,0
0.81,0.52,0.48,0.5,0.57,0.78,0.8,0
0.86,0.55,0.48,0.5,0.63,0.81,0.83,0
0.57,0.38,0.48,0.5,0.06,0.49,0.33,0
0.78,0.68,0.48,0.5,0.83,0.4,0.29,0
0.67,0.88,0.48,0.5,0.73,0.5,0.25,0
0.75,0.76,0.48,0.5,0.83,0.57,0.3,0
0.74,0.78,0.48,0.5,0.75,0.54,0.15,0
0.65,0.51,0.48,0.5,0.66,0.54,0.33,0
0.68,0.63,0.48,0.5,0.73,0.4,0.3,0
0.74,0.49,0.48,0.5,0.42,0.54,0.36,0
0.66,0.86,0.48,0.5,0.34,0.41,0.36,0
0.72,0.86,0.48,0.5,0.17,0.55,0.21,0
0.67,0.81,0.48,0.5,0.25,0.42,0.25,0
0.68,0.78,0.48,0.5,0.43,0.44,0.42,0
0.64,0.84,0.48,0.5,0.37,0.45,0.4,0
0.69,0.67,0.48,0.5,0.3,0.39,0.24,0
0.64,0.78,0.48,0.5,0.5,0.36,0.38,0
0.64,0.81,0.48,0.5,0.37,0.39,0.44,0
0.56,0.54,0.48,0.5,0.43,0.37,0.3,0
