1,2,3,4,5,6,7,x
1,0,1.69,3.73,1.65,1.8,3.33,0
3,0,0.81,0.86,2.39,0.36,2.06,0
5,0,2.48,4.61,4.16,2.16,6,0
7,1,0.37,1.37,1.08,0.85,3.45,0
8,0,0.37,0.84,0.26,0.47,0.9,0
9,1,1.33,2.31,2.53,1.08,3.65,1
10,0,3.38,5.56,2.76,3.1,5.06,1
12,1,1.42,2.79,1.42,1.08,1.22,1
13,0,0.44,1.05,0.24,0.44,0.94,1
46,1,0.25,0.77,0.1,0.3,0.34,0
47,1,0.78,1.45,0.38,0.58,0.67,0
54,0,0.63,1.31,0.76,0.71,1.28,0
55,0,0.42,1.23,0.13,0.59,0.91,0
62,0,1.11,0.8,1.46,1.48,0.4,0
63,0,3.43,2.55,5.08,1.77,4.2,1
64,1,0.54,0.43,0.66,0.73,0.91,1
65,0,0.39,0.44,0.49,0.55,0.51,1
66,1,2.53,3.18,3.27,2.68,3.6,1
69,0,0.86,1.24,0.69,0.49,0.69,0
99,1,0.71,1.73,0.72,0.99,0.98,1
100,0,1.67,3.46,1.02,1.89,2.47,1
102,0,1.79,3.13,1.83,1.82,3.11,0
103,1,0.19,1.05,0.08,0.4,0.57,0
104,0,0,0.15,0,0.04,0.04,0
105,0,0.44,0.89,0.83,0.38,0.7,0
107,0,0.96,0.88,2.65,0.85,1.48,0
108,1,1.04,1.2,1.27,1.39,1.2,0
112,1,2.24,2.17,4.44,1.05,3.59,0
113,0,2.5,3.99,2.84,2.44,4.48,0
114,1,1.1,1.71,2.05,1.3,4.04,0
115,0,1.83,3.87,3.01,1.66,4.56,0
116,1,1.41,2.99,2.58,1.21,3.95,0
117,1,0.74,1.36,2.22,0.61,2.68,0
118,0,1.09,3.56,0.07,2.26,2.08,0
120,1,4.06,6.71,4.34,3.29,6.4,0
122,0,0.76,1.83,1.5,0.41,2.56,0
123,0,1.53,3.62,1.52,1.62,2.86,1
124,1,0.56,2.88,0.37,1.25,1.74,1
125,1,1.74,3.45,2.14,1,4.39,1
126,0,1.59,3.19,2.36,1.53,3.03,1
127,1,1.91,4.74,1.71,2.03,3.24,1
128,0,2.09,5.23,2.12,2.77,4.44,1
133,0,0.22,0.62,0.15,0.13,0.42,0
134,1,1.11,1.7,1.32,0.57,1.54,0
135,0,1.76,1.19,2.26,1.04,1.27,0
172,0,0.37,0.65,0.31,0.23,0.83,0
178,0,0.55,1.13,1.3,0.34,2.45,0
181,0,2.35,4.29,4.24,1.67,5.48,0
182,1,2.23,4.3,1.99,1.9,3.67,0
186,1,6,6.15,9.42,3.6,7.84,0
187,0,2.67,6.93,2.74,3.03,6.39,1
189,0,0.58,1.41,0.96,0.64,1.24,1
192,1,2.37,1.94,2.46,2.47,2.39,1
194,1,0.92,2.09,0.61,0.87,1.35,1
