1,2,3,4,5,6,7,8,9,x
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,0
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,0
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,0
1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,0
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,0
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,0
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,0
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,0
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,0
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,0
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,0
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,0
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,0
1.5217200000000002,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11,0
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,0
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,1
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,1
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,1
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,1
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,1
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,1
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,1
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,1
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,1
1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0,1
1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0,0,1
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,1
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,1
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,0
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,0
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,0
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,0
1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,0
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,0
1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,0
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,0
1.5165799999999998,14.8,0,1.99,73.11,0,8.28,1.71,0,0
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,0
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,0
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,0
