1,2,3,4,5,6,7,x
1,0,1.69,3.73,1.65,1.8,3.33,0
2,1,0.74,0.78,1.09,0.79,1.59,0
5,0,2.48,4.61,4.16,2.16,6,0
6,1,0.84,2.39,2.76,0.87,4.17,0
8,0,0.37,0.84,0.26,0.47,0.9,0
9,1,1.33,2.31,2.53,1.08,3.65,1
11,0,0.69,1.46,1.07,0.64,1.95,1
13,0,0.44,1.05,0.24,0.44,0.94,1
45,0,0.17,0.55,0.13,0.27,0.35,0
46,1,0.25,0.77,0.1,0.3,0.34,0
47,1,0.78,1.45,0.38,0.58,0.67,0
50,1,2.73,2.09,2.24,4.02,2.52,0
51,1,0.9,2.45,0.52,1.32,2.18,0
52,0,1.62,2.54,0.94,1.59,1.73,0
53,1,0.93,2.11,1.19,0.85,2.31,0
57,1,0.3,0.69,1.03,0.22,1.88,0
58,0,0.88,1.32,1.87,0.58,2.97,0
60,0,1.25,1,2.04,0.71,2.22,0
61,1,1.08,0.99,1.44,1,1.64,0
63,0,3.43,2.55,5.08,1.77,4.2,1
64,1,0.54,0.43,0.66,0.73,0.91,1
65,0,0.39,0.44,0.49,0.55,0.51,1
67,1,0.81,0.89,1.33,0.43,2.18,1
68,0,0.39,1.22,0.25,0.46,0.89,1
96,0,1.22,2,2.13,1.13,2.33,1
98,1,0.49,1.07,0.36,0.87,0.57,1
99,1,0.71,1.73,0.72,0.99,0.98,1
100,0,1.67,3.46,1.02,1.89,2.47,1
104,0,0,0.15,0,0.04,0.04,0
105,0,0.44,0.89,0.83,0.38,0.7,0
108,1,1.04,1.2,1.27,1.39,1.2,0
113,0,2.5,3.99,2.84,2.44,4.48,0
114,1,1.1,1.71,2.05,1.3,4.04,0
116,1,1.41,2.99,2.58,1.21,3.95,0
118,0,1.09,3.56,0.07,2.26,2.08,0
119,0,0.79,1.43,1.62,1.16,2.87,0
127,1,1.91,4.74,1.71,2.03,3.24,1
129,1,1.59,3.92,1.38,2.11,3.01,0
135,0,1.76,1.19,2.26,1.04,1.27,0
171,1,0.12,0.6,0.19,0.28,0.7,0
172,0,0.37,0.65,0.31,0.23,0.83,0
173,0,4.97,3.03,1.44,3.14,0.86,0
175,0,0.13,0.54,0.11,0.14,0.58,0
176,1,2.47,4.7,3.66,1.84,5.36,0
178,0,0.55,1.13,1.3,0.34,2.45,0
180,1,2.36,1.15,1.84,1.73,2.33,0
181,0,2.35,4.29,4.24,1.67,5.48,0
182,1,2.23,4.3,1.99,1.9,3.67,0
183,1,1.16,3.06,2.44,1.52,4.01,0
187,0,2.67,6.93,2.74,3.03,6.39,1
188,1,0.36,0.15,0,0.19,0.06,1
190,1,1.36,3.43,1.38,1.86,2.91,1
193,0,0.02,0.08,0.05,0.02,0.09,1
194,1,0.92,2.09,0.61,0.87,1.35,1
