1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,x
1,27.58,2.04,1,0,0,6,4,2,1,1,3,1,0,1,0,370,561,1
0,23.58,11.5,1,0,0,4,8,3,0,0,0,1,0,1,0,20,17,0
1,28.92,15,0,1,0,8,8,5.335,1,1,11,0,0,1,0,0,2284,1
1,17.25,3,0,1,0,4,4,0.04,0,0,0,1,0,1,0,160,41,0
0,47.25,0.75,0,1,0,11,8,2.75,1,1,1,0,0,1,0,333,893,1
1,39.25,9.5,0,1,0,7,4,6.5,1,1,14,0,0,1,0,240,4608,1
1,34,4.5,0,1,0,6,4,1,1,0,0,1,0,1,0,240,1,0
1,26.25,1.54,0,1,0,9,4,0.125,0,0,0,0,0,1,0,100,1,0
1,62.75,7,0,1,0,10,9,0,0,0,0,0,0,1,0,0,13,0
1,31.92,4.46,0,1,0,13,8,6.04,1,1,3,0,0,1,0,311,301,1
0,15.92,2.875,0,1,0,11,4,0.085,0,0,0,0,0,1,0,120,1,0
1,39.92,0.54,1,0,0,6,4,0.5,1,1,3,0,0,1,0,200,1001,1
1,44,2,0,1,0,7,4,1.75,1,1,2,1,0,1,0,0,16,1
0,23.5,1.5,0,1,0,9,4,0.875,0,0,0,1,0,1,0,160,1,0
0,19.17,0.585,1,0,0,6,4,0.585,1,0,0,1,0,1,0,160,1,0
1,52.42,1.5,0,1,0,2,4,3.75,0,0,0,1,0,1,0,0,351,0
0,20.08,0.125,0,1,0,11,4,1,0,1,1,0,0,1,0,240,769,1
1,22.92,3.165,1,0,0,8,4,0.165,0,0,0,0,0,1,0,160,1059,0
1,37.5,0.835,0,1,0,10,4,0.04,0,0,0,0,0,1,0,120,6,0
1,17.08,3.29,0,1,0,3,4,0.335,0,0,0,1,0,1,0,140,3,0
1,30.17,1.085,1,0,0,8,4,0.04,0,0,0,0,0,1,0,170,180,0
1,39.5,4.25,0,1,0,8,5,6.5,1,1,16,0,0,1,0,117,1211,1
1,23.58,1.79,0,1,0,8,4,0.54,0,0,0,1,0,1,0,136,2,0
0,18.92,9,0,1,0,6,4,0.75,1,1,2,0,0,1,0,88,592,1
0,21.75,1.75,1,0,0,5,3,0,0,0,0,0,0,1,0,160,1,0
1,27.25,0.625,0,1,0,6,4,0.455,1,0,0,1,0,1,0,200,1,0
1,32.25,14,1,0,0,1,1,0,0,1,2,0,0,1,0,160,2,0
0,18.75,7.5,0,1,0,11,4,2.71,1,1,5,0,0,1,0,184,26727,1
1,32.25,0.165,1,0,0,8,8,3.25,1,1,1,1,0,1,0,432,8001,1
1,42.75,3,0,1,0,3,5,1,1,0,0,0,0,1,0,0,201,0
1,35.25,3.165,0,1,0,14,8,3.75,1,0,0,1,0,1,0,680,1,0
0,18.58,10,0,1,0,2,4,0.415,0,0,0,0,0,1,0,80,43,0
0,20.42,0.835,0,1,0,11,4,1.585,1,1,1,0,0,1,0,0,1,1
1,20,7,0,1,0,8,4,0.5,0,0,0,0,0,1,0,0,1,0
1,29.67,1.415,0,1,0,9,8,0.75,1,1,1,0,0,1,0,240,101,1
1,38.92,1.75,0,1,0,4,4,0.5,0,0,0,1,0,1,0,300,3,0
0,37.75,5.5,0,1,0,11,4,0.125,1,0,0,1,0,1,0,228,1,1
1,28.33,5,0,1,0,9,4,11,1,0,0,1,0,1,0,70,1,1
1,32.33,7.5,0,1,0,10,5,1.585,1,0,0,1,1,0,0,420,1,0
1,30.17,0.5,0,1,0,8,4,1.75,1,1,11,0,0,1,0,32,541,1
1,59.67,1.54,0,1,0,11,4,0.125,1,0,0,1,0,1,0,260,1,1
1,32.42,3,0,1,0,2,4,0.165,0,0,0,1,0,1,0,120,1,0
1,76.75,22.29,0,1,0,10,9,12.75,1,1,1,1,0,1,0,0,110,1
1,21.17,0.875,1,0,0,8,8,0.25,0,0,0,0,0,1,0,280,205,0
1,54.58,9.415,0,1,0,1,1,14.415,1,1,11,1,0,1,0,30,301,1
0,22.83,2.29,0,1,0,11,8,2.29,1,1,7,1,0,1,0,140,2385,1
0,17.92,0.54,0,1,0,8,4,1.75,0,1,1,1,0,1,0,80,6,0
1,23.5,3.165,1,0,0,4,4,0.415,0,1,1,1,0,1,0,280,81,0
1,29.83,2.04,1,0,0,14,8,0.04,0,0,0,0,0,1,0,128,2,0
1,45.17,1.5,0,1,0,8,4,2.5,1,0,0,1,0,1,0,140,1,0
1,38.58,3.335,0,1,0,9,4,4,1,1,14,0,0,1,0,383,1345,1
1,34.75,15,0,1,0,12,7,5.375,1,1,9,1,0,1,0,0,135,1
0,17.33,9.5,0,1,0,6,4,1.75,0,1,10,1,0,1,0,0,11,0
1,21.5,9.75,0,1,0,8,4,0.25,1,0,0,0,0,1,0,140,1,0
0,58.67,4.46,0,1,0,11,8,3.04,1,1,6,0,0,1,0,43,561,1
1,34.67,1.08,0,1,0,7,4,1.165,0,0,0,0,1,0,0,28,1,0
1,24.08,0.875,0,1,0,7,4,0.085,0,1,4,0,0,1,0,254,1951,0
1,22.67,1.585,1,0,0,9,4,3.085,1,1,6,0,0,1,0,80,1,1
0,27.25,0.29,0,1,0,7,8,0.125,0,1,1,1,0,1,0,272,109,0
0,71.58,0,0,1,0,8,4,0,0,0,0,0,0,0,1,184,1,1
1,25.75,0.5,0,1,0,8,4,1.46,1,1,5,1,0,1,0,312,1,1
1,34.17,9.17,0,1,0,8,4,4.5,1,1,12,1,0,1,0,0,222,1
0,45.33,1,0,1,0,11,4,0.125,0,0,0,1,0,1,0,263,1,0
0,52.17,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
0,36.75,5.125,0,1,0,10,4,5,1,0,0,1,0,1,0,0,4001,1
1,40.92,0.835,0,1,0,1,1,0,1,0,0,0,0,1,0,130,2,0
1,21.83,11,0,1,0,14,4,0.29,1,1,6,0,0,1,0,121,1,1
1,19.33,10.915,0,1,0,8,5,0.585,0,1,2,1,0,1,0,200,8,0
1,24.17,0.875,0,1,0,11,4,4.625,1,1,2,1,0,1,0,520,2001,1
1,21.42,0.75,1,0,0,12,7,0.75,0,0,0,1,0,1,0,132,3,0
1,48.75,8.5,0,1,0,8,8,12.5,1,1,9,0,0,1,0,181,1656,1
0,22.92,11.585,0,1,0,13,4,0.04,1,0,0,0,0,1,0,80,1350,1
0,20.75,10.335,0,1,0,13,8,0.335,1,1,1,1,0,1,0,80,51,1
1,22.08,0.83,0,1,0,8,8,2.165,0,0,0,1,0,1,0,128,1,1
0,39.08,4,0,1,0,8,4,3,0,0,0,0,0,1,0,480,1,0
0,29.5,2,1,0,0,10,8,2,0,0,0,0,0,1,0,256,18,0
1,25,11.25,0,1,0,8,4,2.5,1,1,17,0,0,1,0,200,1209,1
0,18.08,0.375,0,0,1,13,1,10,0,0,0,1,1,0,0,300,1,1
1,19.17,4,1,0,0,3,4,1,0,0,0,1,0,1,0,360,1001,0
1,24.58,12.5,0,1,0,9,4,0.875,1,0,0,1,0,1,0,260,1,0
1,24.5,13.335,1,0,0,6,4,0.04,0,0,0,1,0,1,0,120,476,0
1,34.25,1.75,0,1,0,9,5,0.25,1,0,0,1,0,1,0,163,1,0
1,22.92,0.17,0,1,0,7,4,0.085,0,0,0,0,1,0,0,0,1,0
1,56.42,28,1,0,0,8,4,28.5,1,1,40,0,0,1,0,0,16,1
1,26.17,0.835,0,1,0,13,4,1.165,0,0,0,0,0,1,0,100,1,0
0,24.75,13.665,0,1,0,11,8,1.5,0,0,0,0,0,1,0,280,2,0
1,18.58,10.29,0,1,0,1,1,0.415,0,0,0,0,0,1,0,80,1,0
1,49.58,19,0,1,0,1,1,0,1,1,1,0,0,1,0,94,1,0
0,60.58,16.5,0,1,0,11,4,11,1,0,0,1,0,1,0,21,10562,1
1,23.33,1.5,0,1,0,8,8,1.415,1,0,0,0,0,1,0,422,201,1
1,37.58,0,0,1,0,8,4,0,0,0,0,0,0,0,1,184,1,1
0,22.5,11,1,0,0,11,4,3,1,0,0,1,0,1,0,268,1,0
1,39.08,6,0,1,0,7,4,1.29,1,1,5,1,0,1,0,108,1098,1
1,25.17,6,0,1,0,8,4,1,1,1,3,0,0,1,0,0,1,1
1,15.17,7,0,1,0,10,4,1,0,0,0,0,0,1,0,600,1,0
1,25.75,0.75,0,1,0,8,5,0.25,1,0,0,0,0,1,0,349,24,1
1,33.75,2.75,0,1,0,3,5,0,0,0,0,0,0,1,0,180,1,0
0,30.25,5.5,0,1,0,4,4,5.5,0,0,0,1,1,0,0,100,1,0
1,48.5,4.25,0,1,0,7,4,0.125,1,0,0,1,0,1,0,225,1,1
1,37.17,4,0,1,0,8,5,5,1,0,0,1,1,0,0,280,1,0
1,17.42,6.5,0,1,0,3,4,0.125,0,0,0,0,0,1,0,60,101,0
0,25,12.33,0,1,0,13,8,3.5,1,1,6,0,0,1,0,400,459,1
1,22.5,0.125,1,0,0,4,4,0.125,0,0,0,0,0,1,0,200,71,0
1,41.17,1.25,1,0,0,9,4,0.25,0,0,0,0,0,1,0,0,196,0
1,20.67,0.415,0,1,0,8,4,0.125,0,0,0,0,0,1,0,0,45,0
1,40.25,21.5,0,1,0,10,9,20,1,1,11,0,0,1,0,0,1201,1
1,39.17,1.625,0,1,0,8,4,1.5,1,1,10,0,0,1,0,186,4701,1
1,54.33,6.75,0,1,0,8,8,2.625,1,1,11,1,0,1,0,0,285,1
1,23,0.625,1,0,0,6,4,0.125,1,0,0,0,0,1,0,180,2,0
0,22.5,0.415,0,1,0,3,4,0.335,0,0,0,1,1,0,0,144,1,0
1,31,2.085,0,1,0,8,4,0.085,0,0,0,0,0,1,0,300,1,0
1,17.08,0.085,1,0,0,8,4,0.04,0,0,0,0,0,1,0,140,723,0
1,37.42,2.04,0,1,0,9,4,0.04,1,0,0,1,0,1,0,400,5801,1
