1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,x
1,27.58,2.04,1,0,0,6,4,2,1,1,3,1,0,1,0,370,561,1
0,68.67,15,0,1,0,10,9,0,1,1,14,0,0,1,0,0,3377,1
1,22.67,0.75,0,1,0,3,4,1.585,0,1,1,1,0,1,0,400,10,0
1,28.58,3.625,0,1,0,6,4,0.25,0,0,0,1,0,1,0,100,1,0
1,28.92,15,0,1,0,8,8,5.335,1,1,11,0,0,1,0,0,2284,1
1,31.42,15.5,0,1,0,8,4,0.5,1,0,0,0,0,1,0,120,1,0
1,17.25,3,0,1,0,4,4,0.04,0,0,0,1,0,1,0,160,41,0
1,31.58,0.75,1,0,0,6,4,3.5,0,0,0,1,0,1,0,320,1,0
0,47.25,0.75,0,1,0,11,8,2.75,1,1,1,0,0,1,0,333,893,1
0,22.5,8.46,1,0,0,14,4,2.46,0,0,0,0,0,1,0,164,1,1
1,26.25,1.54,0,1,0,9,4,0.125,0,0,0,0,0,1,0,100,1,0
1,62.75,7,0,1,0,10,9,0,0,0,0,0,0,1,0,0,13,0
0,25.58,0,0,1,0,8,4,0,0,0,0,0,0,0,1,184,1,1
0,15.92,2.875,0,1,0,11,4,0.085,0,0,0,0,0,1,0,120,1,0
0,23.5,1.5,0,1,0,9,4,0.875,0,0,0,1,0,1,0,160,1,0
1,52.42,1.5,0,1,0,2,4,3.75,0,0,0,1,0,1,0,0,351,0
1,22.92,3.165,1,0,0,8,4,0.165,0,0,0,0,0,1,0,160,1059,0
1,21.92,0.5,0,1,0,8,4,0.125,0,0,0,0,0,1,0,360,1,0
1,31.83,0.04,1,0,0,7,4,0.04,0,0,0,0,0,1,0,0,1,0
1,30.17,1.085,1,0,0,8,4,0.04,0,0,0,0,0,1,0,170,180,0
1,39.5,4.25,0,1,0,8,5,6.5,1,1,16,0,0,1,0,117,1211,1
1,23.58,1.79,0,1,0,8,4,0.54,0,0,0,1,0,1,0,136,2,0
0,18.92,9,0,1,0,6,4,0.75,1,1,2,0,0,1,0,88,592,1
1,60.08,14.5,0,1,0,1,1,18,1,1,15,1,0,1,0,0,1001,1
1,26.67,1.75,1,0,0,8,4,1,1,1,5,1,0,1,0,160,5778,1
1,27.25,0.625,0,1,0,6,4,0.455,1,0,0,1,0,1,0,200,1,0
1,37.33,2.665,0,1,0,13,4,0.165,0,0,0,1,0,1,0,0,502,0
0,18.75,7.5,0,1,0,11,4,2.71,1,1,5,0,0,1,0,184,26727,1
1,48.17,7.625,0,1,0,9,8,15.5,1,1,12,0,0,1,0,0,791,1
1,35.25,3.165,0,1,0,14,8,3.75,1,0,0,1,0,1,0,680,1,0
0,18.58,10,0,1,0,2,4,0.415,0,0,0,0,0,1,0,80,43,0
0,16.92,0.5,0,1,0,3,4,0.165,0,1,6,1,0,1,0,240,36,0
0,20.42,0.835,0,1,0,11,4,1.585,1,1,1,0,0,1,0,0,1,1
1,20,7,0,1,0,8,4,0.5,0,0,0,0,0,1,0,0,1,0
1,32.33,2.5,0,1,0,8,4,1.25,0,0,0,1,0,1,0,280,1,0
1,25.25,1,0,1,0,6,4,0.5,0,0,0,0,0,1,0,200,1,0
1,22.33,11,0,1,0,9,4,2,1,1,1,0,0,1,0,80,279,1
0,37.75,5.5,0,1,0,11,4,0.125,1,0,0,1,0,1,0,228,1,1
1,26.92,2.25,0,1,0,3,5,0.5,0,0,0,1,0,1,0,640,4001,0
1,34.17,1.54,0,1,0,13,4,1.54,1,1,1,1,0,1,0,520,50001,1
1,28.33,5,0,1,0,9,4,11,1,0,0,1,0,1,0,70,1,1
0,24.92,1.25,0,1,0,1,1,0,1,0,0,0,0,1,0,80,1,0
1,32.42,2.165,1,0,0,4,1,0,0,0,0,0,0,1,0,120,1,0
1,27.83,1.5,0,1,0,9,4,2,1,1,11,1,0,1,0,434,36,1
1,32.42,3,0,1,0,2,4,0.165,0,0,0,1,0,1,0,120,1,0
1,13.75,4,1,0,0,9,4,1.75,1,1,2,1,0,1,0,120,1001,1
1,36.33,2.125,1,0,0,9,4,0.085,1,1,1,0,0,1,0,50,1188,1
1,41.17,1.335,0,1,0,2,4,0.165,0,0,0,0,0,1,0,168,1,0
1,26.67,2.71,1,0,0,13,4,5.25,1,1,1,0,0,1,0,211,1,1
1,29.83,2.04,1,0,0,14,8,0.04,0,0,0,0,0,1,0,128,2,0
1,34.17,5.25,0,1,0,9,4,0.085,0,0,0,1,0,1,0,290,7,1
0,22.67,0.79,0,1,0,3,4,0.085,0,0,0,0,0,1,0,144,1,0
1,31.57,10.5,0,1,0,14,4,6.5,1,0,0,0,0,1,0,0,1,1
1,36.17,0.42,1,0,0,9,4,0.29,0,0,0,1,0,1,0,309,3,0
1,21.5,9.75,0,1,0,8,4,0.25,1,0,0,0,0,1,0,140,1,0
0,58.67,4.46,0,1,0,11,8,3.04,1,1,6,0,0,1,0,43,561,1
0,23.25,5.875,0,1,0,11,4,3.17,1,1,10,0,0,1,0,120,246,1
0,24.5,1.04,1,0,0,1,1,0.5,1,1,3,0,0,1,0,180,148,0
0,28.67,1.04,0,1,0,8,4,2.5,1,1,5,1,0,1,0,300,1431,1
1,25,12,0,1,0,4,4,2.25,1,1,2,1,0,1,0,120,6,0
1,34.67,1.08,0,1,0,7,4,1.165,0,0,0,0,1,0,0,28,1,0
1,25.75,0.5,0,1,0,8,4,1.46,1,1,5,1,0,1,0,312,1,1
1,34.17,9.17,0,1,0,8,4,4.5,1,1,12,1,0,1,0,0,222,1
0,45.33,1,0,1,0,11,4,0.125,0,0,0,1,0,1,0,263,1,0
0,36.75,5.125,0,1,0,10,4,5,1,0,0,1,0,1,0,0,4001,1
1,28.17,0.125,1,0,0,4,4,0.085,0,0,0,0,0,1,0,216,2101,0
1,19.33,10.915,0,1,0,8,5,0.585,0,1,2,1,0,1,0,200,8,0
